condition,decay_multiplier,round,seed,player_id,policy,kills,deaths,kd_ratio,peak_mass,food_eaten,circling_index,splits
+15% Stronger (1.15x),1.15,8,733,player_0,Champion PPO 1,1.0,0.0,1.0,58.78,71.0,1.4848,1.0
+15% Stronger (1.15x),1.15,8,733,player_1,Guided Diffusion 1,0.0,0.0,0.0,27.77,32.0,0.4988,0.0
+15% Stronger (1.15x),1.15,8,733,player_2,Champion PPO 2,0.0,1.0,0.0,20.9,19.0,1.367,0.0
+15% Stronger (1.15x),1.15,8,733,player_3,Guided Diffusion 2,0.0,0.0,0.0,22.97,19.0,0.7012,0.0
+15% Stronger (1.15x),1.15,8,733,player_4,Champion PPO 3,0.0,0.0,0.0,19.98,12.0,1.7224,0.0
+15% Stronger (1.15x),1.15,8,733,player_5,Guided Diffusion 3,0.0,0.0,0.0,23.71,22.0,0.4481,0.0
+15% Stronger (1.15x),1.15,9,752,player_0,Champion PPO 1,0.0,0.0,0.0,27.71,34.0,1.3518,0.0
+15% Stronger (1.15x),1.15,9,752,player_1,Guided Diffusion 1,0.0,0.0,0.0,25.7,24.0,0.5331,0.0
+15% Stronger (1.15x),1.15,9,752,player_2,Champion PPO 2,0.0,1.0,0.0,30.3,44.0,1.181,0.0
+15% Stronger (1.15x),1.15,9,752,player_3,Guided Diffusion 2,0.0,1.0,0.0,22.99,23.0,0.6574,0.0
+15% Stronger (1.15x),1.15,9,752,player_4,Champion PPO 3,2.0,0.0,2.0,78.52,63.0,1.5198,3.0
+15% Stronger (1.15x),1.15,9,752,player_5,Guided Diffusion 3,0.0,0.0,0.0,34.43,46.0,0.4433,0.0
+15% Stronger (1.15x),1.15,10,771,player_0,Champion PPO 1,0.0,0.0,0.0,25.51,25.0,1.4756,0.0
+15% Stronger (1.15x),1.15,10,771,player_1,Guided Diffusion 1,0.0,0.0,0.0,24.82,25.0,0.5653,0.0
+15% Stronger (1.15x),1.15,10,771,player_2,Champion PPO 2,0.0,0.0,0.0,24.14,24.0,1.4435,0.0
+15% Stronger (1.15x),1.15,10,771,player_3,Guided Diffusion 2,0.0,0.0,0.0,19.19,13.0,0.5433,0.0
+15% Stronger (1.15x),1.15,10,771,player_4,Champion PPO 3,0.0,0.0,0.0,21.29,17.0,1.2962,0.0
+15% Stronger (1.15x),1.15,10,771,player_5,Guided Diffusion 3,0.0,0.0,0.0,23.01,19.0,0.6161,0.0
+15% Stronger (1.15x),1.15,11,790,player_0,Champion PPO 1,1.0,0.0,1.0,46.38,45.0,1.56,2.0
+15% Stronger (1.15x),1.15,11,790,player_1,Guided Diffusion 1,0.0,1.0,0.0,19.77,22.0,0.6803,0.0
+15% Stronger (1.15x),1.15,11,790,player_2,Champion PPO 2,1.0,0.0,1.0,39.26,47.0,1.2776,1.0
+15% Stronger (1.15x),1.15,11,790,player_3,Guided Diffusion 2,0.0,0.0,0.0,32.62,41.0,0.614,0.0
+15% Stronger (1.15x),1.15,11,790,player_4,Champion PPO 3,0.0,0.0,0.0,20.85,14.0,1.6151,0.0
+15% Stronger (1.15x),1.15,11,790,player_5,Guided Diffusion 3,0.0,0.0,0.0,18.98,10.0,0.4801,0.0
+15% Stronger (1.15x),1.15,12,809,player_0,Champion PPO 1,0.0,0.0,0.0,28.06,32.0,1.3341,0.0
+15% Stronger (1.15x),1.15,12,809,player_1,Guided Diffusion 1,0.0,0.0,0.0,27.97,33.0,0.4666,0.0
+15% Stronger (1.15x),1.15,12,809,player_2,Champion PPO 2,0.0,0.0,0.0,25.21,27.0,1.3279,0.0
+15% Stronger (1.15x),1.15,12,809,player_3,Guided Diffusion 2,0.0,0.0,0.0,25.92,31.0,0.6177,0.0
+15% Stronger (1.15x),1.15,12,809,player_4,Champion PPO 3,0.0,0.0,0.0,25.0,24.0,1.5158,0.0
+15% Stronger (1.15x),1.15,12,809,player_5,Guided Diffusion 3,0.0,0.0,0.0,29.14,36.0,0.4918,0.0
+15% Stronger (1.15x),1.15,13,828,player_0,Champion PPO 1,0.0,0.0,0.0,28.59,35.0,1.2277,0.0
+15% Stronger (1.15x),1.15,13,828,player_1,Guided Diffusion 1,0.0,0.0,0.0,27.0,32.0,0.7342,0.0
+15% Stronger (1.15x),1.15,13,828,player_2,Champion PPO 2,0.0,1.0,0.0,21.77,24.0,1.097,0.0
+15% Stronger (1.15x),1.15,13,828,player_3,Guided Diffusion 2,0.0,0.0,0.0,24.74,24.0,0.5098,0.0
+15% Stronger (1.15x),1.15,13,828,player_4,Champion PPO 3,1.0,0.0,1.0,54.99,58.0,1.1215,1.0
+15% Stronger (1.15x),1.15,13,828,player_5,Guided Diffusion 3,0.0,0.0,0.0,24.97,28.0,0.5443,0.0
+15% Stronger (1.15x),1.15,14,847,player_0,Champion PPO 1,3.0,0.0,3.0,81.28,70.0,1.2883,3.0
+15% Stronger (1.15x),1.15,14,847,player_1,Guided Diffusion 1,0.0,0.0,0.0,25.42,26.0,0.5708,0.0
+15% Stronger (1.15x),1.15,14,847,player_2,Champion PPO 2,0.0,2.0,0.0,19.97,29.0,1.196,0.0
+15% Stronger (1.15x),1.15,14,847,player_3,Guided Diffusion 2,0.0,0.0,0.0,18.48,11.0,0.4947,0.0
+15% Stronger (1.15x),1.15,14,847,player_4,Champion PPO 3,0.0,1.0,0.0,19.35,20.0,1.1823,0.0
+15% Stronger (1.15x),1.15,14,847,player_5,Guided Diffusion 3,0.0,0.0,0.0,20.83,19.0,0.6242,0.0
+15% Stronger (1.15x),1.15,15,866,player_0,Champion PPO 1,1.0,0.0,1.0,50.99,58.0,1.6736,1.0
+15% Stronger (1.15x),1.15,15,866,player_1,Guided Diffusion 1,0.0,1.0,0.0,21.58,18.0,0.9005,0.0
+15% Stronger (1.15x),1.15,15,866,player_2,Champion PPO 2,0.0,0.0,0.0,20.63,19.0,1.3464,0.0
+15% Stronger (1.15x),1.15,15,866,player_3,Guided Diffusion 2,1.0,0.0,1.0,35.46,32.0,0.4693,0.0
+15% Stronger (1.15x),1.15,15,866,player_4,Champion PPO 3,0.0,1.0,0.0,20.41,25.0,1.3721,0.0
+15% Stronger (1.15x),1.15,15,866,player_5,Guided Diffusion 3,0.0,0.0,0.0,29.28,36.0,0.5031,0.0
+25% Stronger (1.25x),1.25,1,600,player_0,Champion PPO 1,0.0,0.0,0.0,19.54,15.0,1.3358,0.0
+25% Stronger (1.25x),1.25,1,600,player_1,Guided Diffusion 1,0.0,0.0,0.0,25.06,24.0,0.7818,0.0
+25% Stronger (1.25x),1.25,1,600,player_2,Champion PPO 2,0.0,0.0,0.0,14.97,0.0,1.5729,0.0
+25% Stronger (1.25x),1.25,1,600,player_3,Guided Diffusion 2,0.0,0.0,0.0,18.18,9.0,0.7267,0.0
+25% Stronger (1.25x),1.25,1,600,player_4,Champion PPO 3,0.0,0.0,0.0,22.78,22.0,1.3937,0.0
+25% Stronger (1.25x),1.25,1,600,player_5,Guided Diffusion 3,0.0,0.0,0.0,17.53,9.0,0.6284,0.0
+25% Stronger (1.25x),1.25,2,619,player_0,Champion PPO 1,1.0,0.0,1.0,40.14,34.0,1.4367,1.0
+25% Stronger (1.25x),1.25,2,619,player_1,Guided Diffusion 1,1.0,0.0,1.0,36.15,24.0,0.4795,0.0
+25% Stronger (1.25x),1.25,2,619,player_2,Champion PPO 2,1.0,0.0,1.0,46.31,82.0,1.222,2.0
+25% Stronger (1.25x),1.25,2,619,player_3,Guided Diffusion 2,0.0,0.0,0.0,27.91,33.0,0.4406,0.0
+25% Stronger (1.25x),1.25,2,619,player_4,Champion PPO 3,1.0,0.0,1.0,42.57,37.0,1.3056,1.0
+25% Stronger (1.25x),1.25,2,619,player_5,Guided Diffusion 3,0.0,1.0,0.0,17.0,10.0,0.5129,0.0
+25% Stronger (1.25x),1.25,3,638,player_0,Champion PPO 1,0.0,0.0,0.0,34.16,47.0,1.3617,0.0
+25% Stronger (1.25x),1.25,3,638,player_1,Guided Diffusion 1,0.0,0.0,0.0,21.68,19.0,0.6027,0.0
+25% Stronger (1.25x),1.25,3,638,player_2,Champion PPO 2,0.0,0.0,0.0,18.44,7.0,1.4521,0.0
+25% Stronger (1.25x),1.25,3,638,player_3,Guided Diffusion 2,0.0,0.0,0.0,24.34,23.0,0.4595,0.0
