condition,decay_multiplier,round,seed,player_id,policy,kills,deaths,kd_ratio,peak_mass,food_eaten,circling_index,splits
+30% Stronger (1.30x),1.3,6,695,player_4,Champion PPO 3,0.0,0.0,0.0,23.23,23.0,1.263,0.0
+30% Stronger (1.30x),1.3,6,695,player_5,Guided Diffusion 3,0.0,0.0,0.0,30.93,38.0,0.5851,0.0
+30% Stronger (1.30x),1.3,7,714,player_0,Champion PPO 1,0.0,0.0,0.0,50.89,85.0,1.2448,2.0
+30% Stronger (1.30x),1.3,7,714,player_1,Guided Diffusion 1,0.0,0.0,0.0,29.5,37.0,0.4905,0.0
+30% Stronger (1.30x),1.3,7,714,player_2,Champion PPO 2,0.0,0.0,0.0,26.42,30.0,1.4551,0.0
+30% Stronger (1.30x),1.3,7,714,player_3,Guided Diffusion 2,0.0,0.0,0.0,19.25,10.0,0.5819,0.0
+30% Stronger (1.30x),1.3,7,714,player_4,Champion PPO 3,0.0,0.0,0.0,27.85,32.0,1.3319,0.0
+30% Stronger (1.30x),1.3,7,714,player_5,Guided Diffusion 3,0.0,0.0,0.0,26.66,32.0,0.5648,0.0
+30% Stronger (1.30x),1.3,8,733,player_0,Champion PPO 1,0.0,0.0,0.0,24.55,25.0,1.5496,0.0
+30% Stronger (1.30x),1.3,8,733,player_1,Guided Diffusion 1,0.0,0.0,0.0,24.07,25.0,0.5575,0.0
+30% Stronger (1.30x),1.3,8,733,player_2,Champion PPO 2,0.0,0.0,0.0,22.34,19.0,1.2861,0.0
+30% Stronger (1.30x),1.3,8,733,player_3,Guided Diffusion 2,1.0,0.0,1.0,52.68,47.0,0.4452,0.0
+30% Stronger (1.30x),1.3,8,733,player_4,Champion PPO 3,0.0,0.0,0.0,18.19,8.0,1.6338,0.0
+30% Stronger (1.30x),1.3,8,733,player_5,Guided Diffusion 3,0.0,1.0,0.0,23.99,30.0,0.5793,0.0
+30% Stronger (1.30x),1.3,9,752,player_0,Champion PPO 1,0.0,1.0,0.0,33.07,53.0,1.2674,0.0
+30% Stronger (1.30x),1.3,9,752,player_1,Guided Diffusion 1,0.0,0.0,0.0,25.03,24.0,0.5886,0.0
+30% Stronger (1.30x),1.3,9,752,player_2,Champion PPO 2,0.0,1.0,0.0,24.6,33.0,1.3941,0.0
+30% Stronger (1.30x),1.3,9,752,player_3,Guided Diffusion 2,0.0,0.0,0.0,24.71,24.0,0.6555,0.0
+30% Stronger (1.30x),1.3,9,752,player_4,Champion PPO 3,2.0,0.0,2.0,84.79,74.0,1.3853,3.0
+30% Stronger (1.30x),1.3,9,752,player_5,Guided Diffusion 3,0.0,0.0,0.0,20.18,13.0,0.5102,0.0
+30% Stronger (1.30x),1.3,10,771,player_0,Champion PPO 1,1.0,0.0,1.0,48.34,48.0,1.4024,1.0
+30% Stronger (1.30x),1.3,10,771,player_1,Guided Diffusion 1,0.0,0.0,0.0,20.62,15.0,0.6502,0.0
+30% Stronger (1.30x),1.3,10,771,player_2,Champion PPO 2,0.0,0.0,0.0,25.59,29.0,1.4187,0.0
+30% Stronger (1.30x),1.3,10,771,player_3,Guided Diffusion 2,0.0,0.0,0.0,28.26,32.0,0.5355,0.0
+30% Stronger (1.30x),1.3,10,771,player_4,Champion PPO 3,0.0,2.0,0.0,20.48,21.0,1.4684,0.0
+30% Stronger (1.30x),1.3,10,771,player_5,Guided Diffusion 3,1.0,0.0,1.0,42.66,38.0,0.5627,0.0
+30% Stronger (1.30x),1.3,11,790,player_0,Champion PPO 1,0.0,0.0,0.0,21.21,20.0,1.3623,0.0
+30% Stronger (1.30x),1.3,11,790,player_1,Guided Diffusion 1,0.0,0.0,0.0,23.45,19.0,0.5424,0.0
+30% Stronger (1.30x),1.3,11,790,player_2,Champion PPO 2,0.0,0.0,0.0,42.69,62.0,1.1065,1.0
+30% Stronger (1.30x),1.3,11,790,player_3,Guided Diffusion 2,0.0,0.0,0.0,23.97,23.0,0.4556,0.0
+30% Stronger (1.30x),1.3,11,790,player_4,Champion PPO 3,0.0,0.0,0.0,19.32,10.0,1.5397,0.0
+30% Stronger (1.30x),1.3,11,790,player_5,Guided Diffusion 3,0.0,0.0,0.0,20.81,14.0,0.5416,0.0
+30% Stronger (1.30x),1.3,12,809,player_0,Champion PPO 1,1.0,0.0,1.0,48.51,52.0,1.3778,1.0
+30% Stronger (1.30x),1.3,12,809,player_1,Guided Diffusion 1,0.0,1.0,0.0,21.24,24.0,0.6083,0.0
+30% Stronger (1.30x),1.3,12,809,player_2,Champion PPO 2,1.0,0.0,1.0,50.57,46.0,1.2167,1.0
+30% Stronger (1.30x),1.3,12,809,player_3,Guided Diffusion 2,0.0,0.0,0.0,21.71,20.0,0.5978,0.0
+30% Stronger (1.30x),1.3,12,809,player_4,Champion PPO 3,0.0,0.0,0.0,24.84,27.0,1.3306,0.0
+30% Stronger (1.30x),1.3,12,809,player_5,Guided Diffusion 3,0.0,0.0,0.0,26.01,28.0,0.4429,0.0
+30% Stronger (1.30x),1.3,13,828,player_0,Champion PPO 1,0.0,0.0,0.0,28.3,34.0,1.3807,0.0
+30% Stronger (1.30x),1.3,13,828,player_1,Guided Diffusion 1,0.0,0.0,0.0,24.02,26.0,0.5184,0.0
+30% Stronger (1.30x),1.3,13,828,player_2,Champion PPO 2,0.0,0.0,0.0,21.53,16.0,1.609,0.0
+30% Stronger (1.30x),1.3,13,828,player_3,Guided Diffusion 2,0.0,1.0,0.0,26.37,38.0,0.6191,0.0
+30% Stronger (1.30x),1.3,13,828,player_4,Champion PPO 3,1.0,0.0,1.0,55.09,65.0,1.3513,3.0
+30% Stronger (1.30x),1.3,13,828,player_5,Guided Diffusion 3,0.0,0.0,0.0,28.64,36.0,0.6402,0.0
+30% Stronger (1.30x),1.3,14,847,player_0,Champion PPO 1,1.0,0.0,1.0,43.9,36.0,1.5725,1.0
+30% Stronger (1.30x),1.3,14,847,player_1,Guided Diffusion 1,0.0,1.0,0.0,20.63,21.0,0.5296,0.0
+30% Stronger (1.30x),1.3,14,847,player_2,Champion PPO 2,0.0,0.0,0.0,23.06,21.0,1.3506,0.0
+30% Stronger (1.30x),1.3,14,847,player_3,Guided Diffusion 2,0.0,0.0,0.0,27.85,33.0,0.5659,0.0
+30% Stronger (1.30x),1.3,14,847,player_4,Champion PPO 3,0.0,0.0,0.0,23.16,23.0,1.0909,0.0
+30% Stronger (1.30x),1.3,14,847,player_5,Guided Diffusion 3,0.0,0.0,0.0,24.21,26.0,0.5097,0.0
+30% Stronger (1.30x),1.3,15,866,player_0,Champion PPO 1,0.0,0.0,0.0,25.96,29.0,1.5884,0.0
+30% Stronger (1.30x),1.3,15,866,player_1,Guided Diffusion 1,0.0,0.0,0.0,26.53,31.0,0.6903,0.0
+30% Stronger (1.30x),1.3,15,866,player_2,Champion PPO 2,0.0,0.0,0.0,24.55,26.0,1.3609,0.0
+30% Stronger (1.30x),1.3,15,866,player_3,Guided Diffusion 2,0.0,0.0,0.0,22.53,22.0,0.525,0.0
+30% Stronger (1.30x),1.3,15,866,player_4,Champion PPO 3,0.0,0.0,0.0,20.36,14.0,1.5132,0.0
+30% Stronger (1.30x),1.3,15,866,player_5,Guided Diffusion 3,0.0,0.0,0.0,20.83,17.0,0.6826,0.0
+35% Stronger (1.35x),1.35,1,600,player_0,Champion PPO 1,1.0,0.0,1.0,50.81,48.0,1.2313,1.0
+35% Stronger (1.35x),1.35,1,600,player_1,Guided Diffusion 1,0.0,0.0,0.0,20.41,14.0,0.6678,0.0
+35% Stronger (1.35x),1.35,1,600,player_2,Champion PPO 2,0.0,2.0,0.0,23.46,24.0,1.568,0.0
+35% Stronger (1.35x),1.35,1,600,player_3,Guided Diffusion 2,1.0,0.0,1.0,38.14,32.0,0.4264,0.0
+35% Stronger (1.35x),1.35,1,600,player_4,Champion PPO 3,0.0,0.0,0.0,20.24,15.0,1.4703,0.0
+35% Stronger (1.35x),1.35,1,600,player_5,Guided Diffusion 3,0.0,0.0,0.0,21.16,18.0,0.5374,0.0
+35% Stronger (1.35x),1.35,2,619,player_0,Champion PPO 1,1.0,0.0,1.0,41.07,37.0,1.3023,1.0
+35% Stronger (1.35x),1.35,2,619,player_1,Guided Diffusion 1,0.0,0.0,0.0,21.08,17.0,0.5572,0.0
+35% Stronger (1.35x),1.35,2,619,player_2,Champion PPO 2,2.0,0.0,2.0,76.22,89.0,1.247,2.0
+35% Stronger (1.35x),1.35,2,619,player_3,Guided Diffusion 2,0.0,0.0,0.0,23.5,23.0,0.6121,0.0
+35% Stronger (1.35x),1.35,2,619,player_4,Champion PPO 3,0.0,2.0,0.0,18.98,21.0,1.026,0.0
+35% Stronger (1.35x),1.35,2,619,player_5,Guided Diffusion 3,0.0,0.0,0.0,31.08,37.0,0.5819,0.0
+35% Stronger (1.35x),1.35,3,638,player_0,Champion PPO 1,0.0,0.0,0.0,20.65,16.0,1.3649,0.0
+35% Stronger (1.35x),1.35,3,638,player_1,Guided Diffusion 1,0.0,0.0,0.0,27.64,34.0,0.6258,0.0
+35% Stronger (1.35x),1.35,3,638,player_2,Champion PPO 2,0.0,0.0,0.0,33.69,44.0,1.3859,0.0
+35% Stronger (1.35x),1.35,3,638,player_3,Guided Diffusion 2,0.0,0.0,0.0,28.9,33.0,0.4498,0.0
+35% Stronger (1.35x),1.35,3,638,player_4,Champion PPO 3,0.0,0.0,0.0,25.23,26.0,1.3917,0.0
+35% Stronger (1.35x),1.35,3,638,player_5,Guided Diffusion 3,0.0,0.0,0.0,27.2,28.0,0.4675,0.0
+35% Stronger (1.35x),1.35,4,657,player_0,Champion PPO 1,1.0,0.0,1.0,42.28,34.0,1.2795,1.0
+35% Stronger (1.35x),1.35,4,657,player_1,Guided Diffusion 1,0.0,0.0,0.0,19.35,10.0,0.6169,0.0
+35% Stronger (1.35x),1.35,4,657,player_2,Champion PPO 2,0.0,0.0,0.0,22.09,20.0,1.242,0.0
+35% Stronger (1.35x),1.35,4,657,player_3,Guided Diffusion 2,0.0,0.0,0.0,29.48,34.0,0.6919,0.0
+35% Stronger (1.35x),1.35,4,657,player_4,Champion PPO 3,0.0,0.0,0.0,28.81,33.0,1.5065,0.0
+35% Stronger (1.35x),1.35,4,657,player_5,Guided Diffusion 3,0.0,1.0,0.0,20.64,18.0,0.6906,0.0
+35% Stronger (1.35x),1.35,5,676,player_0,Champion PPO 1,0.0,0.0,0.0,29.76,35.0,1.1759,0.0
+35% Stronger (1.35x),1.35,5,676,player_1,Guided Diffusion 1,0.0,0.0,0.0,21.25,20.0,0.6766,0.0
+35% Stronger (1.35x),1.35,5,676,player_2,Champion PPO 2,0.0,0.0,0.0,26.81,33.0,1.5492,0.0
+35% Stronger (1.35x),1.35,5,676,player_3,Guided Diffusion 2,1.0,0.0,1.0,46.74,41.0,0.5217,1.0
+35% Stronger (1.35x),1.35,5,676,player_4,Champion PPO 3,0.0,1.0,0.0,20.81,19.0,1.5206,0.0
+35% Stronger (1.35x),1.35,5,676,player_5,Guided Diffusion 3,0.0,0.0,0.0,26.9,28.0,0.6261,0.0
+35% Stronger (1.35x),1.35,6,695,player_0,Champion PPO 1,1.0,0.0,1.0,58.33,81.0,1.1492,0.0
+35% Stronger (1.35x),1.35,6,695,player_1,Guided Diffusion 1,0.0,0.0,0.0,20.67,15.0,0.4861,0.0
+35% Stronger (1.35x),1.35,6,695,player_2,Champion PPO 2,3.0,0.0,3.0,73.24,51.0,1.1181,2.0
+35% Stronger (1.35x),1.35,6,695,player_3,Guided Diffusion 2,0.0,0.0,0.0,32.76,41.0,0.5698,0.0
+35% Stronger (1.35x),1.35,6,695,player_4,Champion PPO 3,0.0,1.0,0.0,21.97,22.0,1.211,0.0
+35% Stronger (1.35x),1.35,6,695,player_5,Guided Diffusion 3,0.0,0.0,0.0,22.53,20.0,0.7394,0.0
+35% Stronger (1.35x),1.35,7,714,player_0,Champion PPO 1,0.0,0.0,0.0,22.93,24.0,1.3534,0.0
+35% Stronger (1.35x),1.35,7,714,player_1,Guided Diffusion 1,0.0,0.0,0.0,28.11,34.0,0.5021,0.0
+35% Stronger (1.35x),1.35,7,714,player_2,Champion PPO 2,0.0,0.0,0.0,29.6,38.0,1.0899,0.0
+35% Stronger (1.35x),1.35,7,714,player_3,Guided Diffusion 2,0.0,0.0,0.0,28.83,32.0,0.4877,0.0
+35% Stronger (1.35x),1.35,7,714,player_4,Champion PPO 3,0.0,0.0,0.0,40.14,61.0,1.3551,1.0
+35% Stronger (1.35x),1.35,7,714,player_5,Guided Diffusion 3,0.0,0.0,0.0,25.4,27.0,0.5207,0.0
+35% Stronger (1.35x),1.35,8,733,player_0,Champion PPO 1,0.0,0.0,0.0,23.98,23.0,1.3369,0.0
+35% Stronger (1.35x),1.35,8,733,player_1,Guided Diffusion 1,0.0,2.0,0.0,18.0,22.0,0.523,0.0
+35% Stronger (1.35x),1.35,8,733,player_2,Champion PPO 2,0.0,0.0,0.0,39.13,58.0,1.3921,1.0
+35% Stronger (1.35x),1.35,8,733,player_3,Guided Diffusion 2,0.0,0.0,0.0,32.8,43.0,0.5689,0.0
+35% Stronger (1.35x),1.35,8,733,player_4,Champion PPO 3,0.0,1.0,0.0,20.39,18.0,1.4916,0.0
+35% Stronger (1.35x),1.35,8,733,player_5,Guided Diffusion 3,3.0,0.0,3.0,60.45,28.0,0.4449,0.0
+35% Stronger (1.35x),1.35,9,752,player_0,Champion PPO 1,2.0,0.0,2.0,45.95,45.0,1.2633,0.0
+35% Stronger (1.35x),1.35,9,752,player_1,Guided Diffusion 1,0.0,1.0,0.0,27.46,28.0,0.4482,0.0
+35% Stronger (1.35x),1.35,9,752,player_2,Champion PPO 2,0.0,2.0,0.0,27.13,45.0,1.1059,0.0
+35% Stronger (1.35x),1.35,9,752,player_3,Guided Diffusion 2,0.0,0.0,0.0,24.42,25.0,0.582,0.0
+35% Stronger (1.35x),1.35,9,752,player_4,Champion PPO 3,1.0,0.0,1.0,61.14,88.0,1.307,0.0
+35% Stronger (1.35x),1.35,9,752,player_5,Guided Diffusion 3,3.0,0.0,3.0,61.38,18.0,0.4855,0.0
+35% Stronger (1.35x),1.35,10,771,player_0,Champion PPO 1,0.0,1.0,0.0,18.16,12.0,1.509,0.0
+35% Stronger (1.35x),1.35,10,771,player_1,Guided Diffusion 1,0.0,1.0,0.0,20.69,15.0,0.4841,0.0
+35% Stronger (1.35x),1.35,10,771,player_2,Champion PPO 2,0.0,0.0,0.0,26.34,29.0,1.4866,0.0
+35% Stronger (1.35x),1.35,10,771,player_3,Guided Diffusion 2,0.0,0.0,0.0,26.99,31.0,0.5877,0.0
+35% Stronger (1.35x),1.35,10,771,player_4,Champion PPO 3,2.0,0.0,2.0,62.27,51.0,1.3682,2.0
+35% Stronger (1.35x),1.35,10,771,player_5,Guided Diffusion 3,0.0,0.0,0.0,25.7,24.0,0.4498,0.0
+35% Stronger (1.35x),1.35,11,790,player_0,Champion PPO 1,0.0,0.0,0.0,43.95,70.0,1.4969,2.0
+35% Stronger (1.35x),1.35,11,790,player_1,Guided Diffusion 1,0.0,0.0,0.0,30.9,36.0,0.5726,0.0
+35% Stronger (1.35x),1.35,11,790,player_2,Champion PPO 2,0.0,0.0,0.0,23.96,23.0,1.328,0.0
+35% Stronger (1.35x),1.35,11,790,player_3,Guided Diffusion 2,0.0,0.0,0.0,24.32,24.0,0.5425,0.0
+35% Stronger (1.35x),1.35,11,790,player_4,Champion PPO 3,0.0,0.0,0.0,21.59,17.0,1.5545,0.0
+35% Stronger (1.35x),1.35,11,790,player_5,Guided Diffusion 3,0.0,0.0,0.0,24.98,25.0,0.5082,0.0
+35% Stronger (1.35x),1.35,12,809,player_0,Champion PPO 1,0.0,0.0,0.0,16.43,5.0,1.7375,0.0
+35% Stronger (1.35x),1.35,12,809,player_1,Guided Diffusion 1,0.0,0.0,0.0,20.93,14.0,0.6088,0.0
+35% Stronger (1.35x),1.35,12,809,player_2,Champion PPO 2,0.0,0.0,0.0,42.93,66.0,1.4133,2.0
+35% Stronger (1.35x),1.35,12,809,player_3,Guided Diffusion 2,0.0,0.0,0.0,21.82,20.0,0.7347,0.0
+35% Stronger (1.35x),1.35,12,809,player_4,Champion PPO 3,0.0,0.0,0.0,22.34,21.0,1.5246,0.0
+35% Stronger (1.35x),1.35,12,809,player_5,Guided Diffusion 3,0.0,0.0,0.0,28.44,35.0,0.5218,0.0
+35% Stronger (1.35x),1.35,13,828,player_0,Champion PPO 1,1.0,0.0,1.0,50.54,51.0,1.3574,1.0
+35% Stronger (1.35x),1.35,13,828,player_1,Guided Diffusion 1,0.0,0.0,0.0,28.03,33.0,0.5562,0.0
+35% Stronger (1.35x),1.35,13,828,player_2,Champion PPO 2,1.0,0.0,1.0,48.32,41.0,1.2463,1.0
+35% Stronger (1.35x),1.35,13,828,player_3,Guided Diffusion 2,0.0,1.0,0.0,23.26,25.0,0.6229,0.0
+35% Stronger (1.35x),1.35,13,828,player_4,Champion PPO 3,1.0,0.0,1.0,49.26,42.0,1.2347,1.0
+35% Stronger (1.35x),1.35,13,828,player_5,Guided Diffusion 3,0.0,1.0,0.0,20.52,29.0,0.7074,0.0
+35% Stronger (1.35x),1.35,14,847,player_0,Champion PPO 1,0.0,0.0,0.0,19.4,11.0,1.6734,0.0
+35% Stronger (1.35x),1.35,14,847,player_1,Guided Diffusion 1,0.0,0.0,0.0,20.34,15.0,0.6669,0.0
+35% Stronger (1.35x),1.35,14,847,player_2,Champion PPO 2,0.0,0.0,0.0,19.31,12.0,1.584,0.0
+35% Stronger (1.35x),1.35,14,847,player_3,Guided Diffusion 2,0.0,0.0,0.0,25.66,30.0,0.5052,0.0
+35% Stronger (1.35x),1.35,14,847,player_4,Champion PPO 3,0.0,0.0,0.0,28.27,34.0,1.4563,0.0
+35% Stronger (1.35x),1.35,14,847,player_5,Guided Diffusion 3,0.0,0.0,0.0,20.32,18.0,0.5378,0.0
+35% Stronger (1.35x),1.35,15,866,player_0,Champion PPO 1,0.0,0.0,0.0,26.12,30.0,1.6555,0.0
+35% Stronger (1.35x),1.35,15,866,player_1,Guided Diffusion 1,0.0,0.0,0.0,28.85,35.0,0.5445,0.0
+35% Stronger (1.35x),1.35,15,866,player_2,Champion PPO 2,0.0,0.0,0.0,23.71,22.0,1.4537,0.0
+35% Stronger (1.35x),1.35,15,866,player_3,Guided Diffusion 2,0.0,0.0,0.0,17.76,11.0,0.6291,0.0
+35% Stronger (1.35x),1.35,15,866,player_4,Champion PPO 3,0.0,0.0,0.0,25.59,28.0,1.4753,0.0
+35% Stronger (1.35x),1.35,15,866,player_5,Guided Diffusion 3,0.0,0.0,0.0,28.08,34.0,0.5881,0.0
+45% Stronger (1.45x),1.45,1,600,player_0,Champion PPO 1,0.0,0.0,0.0,33.36,44.0,1.4046,0.0
+45% Stronger (1.45x),1.45,1,600,player_1,Guided Diffusion 1,0.0,0.0,0.0,26.05,26.0,0.5946,0.0
+45% Stronger (1.45x),1.45,1,600,player_2,Champion PPO 2,0.0,0.0,0.0,16.47,3.0,1.5135,0.0
+45% Stronger (1.45x),1.45,1,600,player_3,Guided Diffusion 2,0.0,0.0,0.0,20.97,15.0,0.592,0.0
+45% Stronger (1.45x),1.45,1,600,player_4,Champion PPO 3,0.0,0.0,0.0,26.67,28.0,1.3948,0.0
+45% Stronger (1.45x),1.45,1,600,player_5,Guided Diffusion 3,0.0,0.0,0.0,22.3,22.0,0.6059,0.0
+45% Stronger (1.45x),1.45,2,619,player_0,Champion PPO 1,0.0,0.0,0.0,21.92,16.0,0.7634,0.0
+45% Stronger (1.45x),1.45,2,619,player_1,Guided Diffusion 1,0.0,0.0,0.0,28.41,35.0,0.513,0.0
+45% Stronger (1.45x),1.45,2,619,player_2,Champion PPO 2,0.0,0.0,0.0,42.61,66.0,1.2517,1.0
+45% Stronger (1.45x),1.45,2,619,player_3,Guided Diffusion 2,0.0,0.0,0.0,24.4,28.0,0.6216,0.0
+45% Stronger (1.45x),1.45,2,619,player_4,Champion PPO 3,1.0,0.0,1.0,42.81,34.0,1.2678,1.0
+45% Stronger (1.45x),1.45,2,619,player_5,Guided Diffusion 3,0.0,0.0,0.0,28.17,31.0,0.6222,0.0
+45% Stronger (1.45x),1.45,3,638,player_0,Champion PPO 1,0.0,1.0,0.0,21.42,25.0,1.3151,0.0
+45% Stronger (1.45x),1.45,3,638,player_1,Guided Diffusion 1,0.0,0.0,0.0,25.57,27.0,0.5455,0.0
+45% Stronger (1.45x),1.45,3,638,player_2,Champion PPO 2,1.0,0.0,1.0,64.08,80.0,1.3947,2.0
+45% Stronger (1.45x),1.45,3,638,player_3,Guided Diffusion 2,0.0,0.0,0.0,30.38,38.0,0.5683,0.0
+45% Stronger (1.45x),1.45,3,638,player_4,Champion PPO 3,0.0,0.0,0.0,21.89,17.0,0.7527,0.0
+45% Stronger (1.45x),1.45,3,638,player_5,Guided Diffusion 3,0.0,0.0,0.0,26.78,30.0,0.4929,0.0
+45% Stronger (1.45x),1.45,4,657,player_0,Champion PPO 1,0.0,1.0,0.0,17.0,8.0,1.4506,0.0
+45% Stronger (1.45x),1.45,4,657,player_1,Guided Diffusion 1,1.0,0.0,1.0,40.14,36.0,0.6166,0.0
+45% Stronger (1.45x),1.45,4,657,player_2,Champion PPO 2,1.0,0.0,1.0,54.76,69.0,1.2096,0.0
+45% Stronger (1.45x),1.45,4,657,player_3,Guided Diffusion 2,0.0,0.0,0.0,22.4,19.0,0.5596,0.0
+45% Stronger (1.45x),1.45,4,657,player_4,Champion PPO 3,0.0,0.0,0.0,27.48,30.0,1.525,0.0
+45% Stronger (1.45x),1.45,4,657,player_5,Guided Diffusion 3,0.0,0.0,0.0,25.16,28.0,0.5807,0.0
+45% Stronger (1.45x),1.45,5,676,player_0,Champion PPO 1,2.0,0.0,2.0,54.29,30.0,1.3386,1.0
+45% Stronger (1.45x),1.45,5,676,player_1,Guided Diffusion 1,0.0,0.0,0.0,38.31,55.0,0.6896,0.0
+45% Stronger (1.45x),1.45,5,676,player_2,Champion PPO 2,1.0,0.0,1.0,46.73,50.0,1.6541,2.0
+45% Stronger (1.45x),1.45,5,676,player_3,Guided Diffusion 2,0.0,0.0,0.0,26.74,30.0,0.5782,0.0
+45% Stronger (1.45x),1.45,5,676,player_4,Champion PPO 3,0.0,2.0,0.0,20.33,29.0,1.3441,0.0
+45% Stronger (1.45x),1.45,5,676,player_5,Guided Diffusion 3,0.0,0.0,0.0,20.44,16.0,0.5336,0.0
+45% Stronger (1.45x),1.45,6,695,player_0,Champion PPO 1,1.0,0.0,1.0,43.59,51.0,1.135,1.0
+45% Stronger (1.45x),1.45,6,695,player_1,Guided Diffusion 1,0.0,0.0,0.0,25.11,28.0,0.5928,0.0
+45% Stronger (1.45x),1.45,6,695,player_2,Champion PPO 2,0.0,0.0,0.0,25.53,26.0,1.2659,0.0
+45% Stronger (1.45x),1.45,6,695,player_3,Guided Diffusion 2,0.0,1.0,0.0,18.58,17.0,0.5581,0.0
+45% Stronger (1.45x),1.45,6,695,player_4,Champion PPO 3,1.0,0.0,1.0,31.6,24.0,1.2146,0.0
+45% Stronger (1.45x),1.45,6,695,player_5,Guided Diffusion 3,2.0,0.0,2.0,44.02,35.0,0.5225,0.0
+45% Stronger (1.45x),1.45,7,714,player_0,Champion PPO 1,2.0,0.0,2.0,74.4,79.0,1.2465,2.0
+45% Stronger (1.45x),1.45,7,714,player_1,Guided Diffusion 1,0.0,1.0,0.0,18.96,21.0,0.572,0.0
+45% Stronger (1.45x),1.45,7,714,player_2,Champion PPO 2,0.0,0.0,0.0,23.43,24.0,1.5937,0.0
+45% Stronger (1.45x),1.45,7,714,player_3,Guided Diffusion 2,0.0,0.0,0.0,28.65,33.0,0.4867,0.0
+45% Stronger (1.45x),1.45,7,714,player_4,Champion PPO 3,0.0,1.0,0.0,20.02,22.0,1.4404,0.0
+45% Stronger (1.45x),1.45,7,714,player_5,Guided Diffusion 3,0.0,0.0,0.0,24.55,29.0,0.6165,0.0
+45% Stronger (1.45x),1.45,8,733,player_0,Champion PPO 1,1.0,0.0,1.0,41.86,38.0,1.533,2.0
+45% Stronger (1.45x),1.45,8,733,player_1,Guided Diffusion 1,0.0,0.0,0.0,26.5,31.0,0.5506,0.0
+45% Stronger (1.45x),1.45,8,733,player_2,Champion PPO 2,0.0,1.0,0.0,16.23,7.0,1.2218,0.0
+45% Stronger (1.45x),1.45,8,733,player_3,Guided Diffusion 2,0.0,0.0,0.0,21.82,20.0,0.6006,0.0
+45% Stronger (1.45x),1.45,8,733,player_4,Champion PPO 3,0.0,0.0,0.0,25.31,26.0,1.1532,0.0
+45% Stronger (1.45x),1.45,8,733,player_5,Guided Diffusion 3,0.0,0.0,0.0,29.97,36.0,0.585,0.0
+45% Stronger (1.45x),1.45,9,752,player_0,Champion PPO 1,0.0,0.0,0.0,29.78,36.0,1.3954,0.0
+45% Stronger (1.45x),1.45,9,752,player_1,Guided Diffusion 1,0.0,0.0,0.0,24.71,23.0,0.5391,0.0
+45% Stronger (1.45x),1.45,9,752,player_2,Champion PPO 2,1.0,0.0,1.0,53.4,55.0,1.3021,2.0
+45% Stronger (1.45x),1.45,9,752,player_3,Guided Diffusion 2,0.0,1.0,0.0,31.09,56.0,0.5741,0.0
+45% Stronger (1.45x),1.45,9,752,player_4,Champion PPO 3,0.0,0.0,0.0,29.87,36.0,1.4636,0.0
+45% Stronger (1.45x),1.45,9,752,player_5,Guided Diffusion 3,0.0,0.0,0.0,28.86,33.0,0.5892,0.0
+45% Stronger (1.45x),1.45,10,771,player_0,Champion PPO 1,0.0,0.0,0.0,23.76,22.0,1.6023,0.0
+45% Stronger (1.45x),1.45,10,771,player_1,Guided Diffusion 1,0.0,0.0,0.0,25.48,26.0,0.5856,0.0
+45% Stronger (1.45x),1.45,10,771,player_2,Champion PPO 2,0.0,0.0,0.0,25.68,28.0,1.4079,0.0
+45% Stronger (1.45x),1.45,10,771,player_3,Guided Diffusion 2,0.0,0.0,0.0,27.25,31.0,0.5227,0.0
+45% Stronger (1.45x),1.45,10,771,player_4,Champion PPO 3,0.0,0.0,0.0,31.2,38.0,1.4663,0.0
+45% Stronger (1.45x),1.45,10,771,player_5,Guided Diffusion 3,0.0,0.0,0.0,26.33,29.0,0.5163,0.0
+45% Stronger (1.45x),1.45,11,790,player_0,Champion PPO 1,0.0,0.0,0.0,33.33,47.0,1.1874,0.0
+45% Stronger (1.45x),1.45,11,790,player_1,Guided Diffusion 1,0.0,0.0,0.0,21.63,18.0,0.6914,0.0
+45% Stronger (1.45x),1.45,11,790,player_2,Champion PPO 2,3.0,0.0,3.0,50.21,21.0,1.3341,1.0
+45% Stronger (1.45x),1.45,11,790,player_3,Guided Diffusion 2,0.0,1.0,0.0,24.42,31.0,0.6315,0.0
+45% Stronger (1.45x),1.45,11,790,player_4,Champion PPO 3,0.0,0.0,0.0,21.31,18.0,1.6126,0.0
+45% Stronger (1.45x),1.45,11,790,player_5,Guided Diffusion 3,1.0,0.0,1.0,55.08,67.0,0.5372,0.0
+45% Stronger (1.45x),1.45,12,809,player_0,Champion PPO 1,0.0,1.0,0.0,17.5,10.0,1.1537,0.0
+45% Stronger (1.45x),1.45,12,809,player_1,Guided Diffusion 1,0.0,0.0,0.0,28.98,35.0,0.5141,0.0
+45% Stronger (1.45x),1.45,12,809,player_2,Champion PPO 2,2.0,0.0,2.0,69.82,80.0,1.3522,1.0
+45% Stronger (1.45x),1.45,12,809,player_3,Guided Diffusion 2,0.0,1.0,0.0,20.37,25.0,0.5425,0.0
+45% Stronger (1.45x),1.45,12,809,player_4,Champion PPO 3,2.0,0.0,2.0,62.91,52.0,1.3175,2.0
+45% Stronger (1.45x),1.45,12,809,player_5,Guided Diffusion 3,0.0,1.0,0.0,23.02,25.0,0.5822,0.0
